"","Camp","Burn440_Area","PreburnAr","Prop_HabBurn440"
"152","Regents Park, Emerald Drive",10037075.1307574,704731848.95216,0.014242403185951
"153","Ringtail Creek, Tronson Road",60091322.487765,1011394132.30432,0.0594143475509941
"154","Robina, Kiralee Dr",20436157.404319,419357218.79846,0.0487320987650399
"155","Robina, Palmer Gold Coast Golf Course",20436157.404319,421650589.71439,0.0484670433359566
"156","Runaway Bay, Godlonton Reserve",20821964.880985,466389217.22803,0.044645039190099
"157","Sandgate, Curlew Park",17116043.6780734,949871401.062045,0.0180193273099243
"158","Sandstone Point, Bestman Rd",8044934.9596254,763288266.82087,0.0105398383668767
"159","Scarborough, Sunnyside Rd",16756961.2652254,896398361.023863,0.0186936545110208
"160","Southport Golf Club",20436157.404319,424020515.24473,0.0481961524727735
"161","Southport, Akes Avenue,",20436157.404319,427898758.77723,0.0477593285447186
"162","Southport, Loders Creek",20436157.404319,447962305.42543,0.0456202612514702
"163","Springwood, Parfrey Road",6368803.6448554,697719259.75874,0.0091280318778324
"164","Stafford, Sparkes Hill, Clover Street",13447158.6117454,905069193.428315,0.0148576028323413
"165","Stanthorpe (Gleason Park - Quart Pot Ck)",319519364.04518,596128223.77973,0.535991002102331
"166","Sunnybank (Les Atkinson Park)",14058363.0245454,790614900.38974,0.0177815558720373
"167","Sunshine Acres, Black Swamp Creek",16881987.41182,923192799.234944,0.0182865241429637
"168","Surfers Paradise, Girung Island",20436157.404319,417383515.59023,0.0489625407831927
"169","Surfers Paradise, Macintosh Island",20436157.404319,417728743.6832,0.0489220761399592
"170","Surfers Paradise, Remembrance Drive",20436157.404319,413759758.654,0.0493913605102627
"171","Tallebudgera Creek",20670180.0875597,399207439.628425,0.0517780432819567
"172","Tamborine NP (Joalah Sec)",20930346.145765,564281289.92687,0.0370920434885898
"173","The Gap, Riaweena St",13393198.3631454,873520921.96675,0.0153324299697257
"174","The Gap, Waterworks Road",13397600.5732454,872671191.92735,0.0153524038574666
"175","The Palms NP, Cooyar",40278569.403753,482329507.55287,0.0835084082002549
"176","Thornlands, Lotus Court",3006217.4867654,547700569.33308,0.00548879744716349
"177","Toowong Perrin Park, Josling St",13315948.3170454,864225257.85828,0.0154079601307244
"178","Toowoomba (Japanese Gardens/University)",87697296.331,398445897.631541,0.22009837935914
"179","Toowoomba, Spring Street",92072055.975,410868340.38036,0.224091386281466
"180","Tweed Heads, Big Island",20483807.5254967,346592601.26582,0.0591005331639685
"181","Tweed Heads, The Anchorage",20483807.5254967,327490063.60399,0.0625478748884005
"182","Tyalgum",30365572.72014,637122254.08165,0.047660511817954
"183","Tyalgum Creek",31186385.98964,638097854.79395,0.048873986576417
"184","Uki",19778135.36592,563553439.91885,0.035095403496726
"185","Upper Coomera, Heathwood Drive",21377958.50115,536572572.55324,0.0398416907510285
"186","Walloon, Poplar Street Reserve",89142343.5072444,813872948.46337,0.109528574055139
"187","Warwick, Grafton Street",279419771.922782,843078086.63436,0.33142810417271
"188","Wellington Point, Crossley Drive",4912379.0819054,634876061.391605,0.0077375402549244
"189","Windsor, Enoggera Creek",13696486.9243654,884395198.94885,0.0154868399790551
"190","Woocoo NP, Aramara",8635222.82115,896465437.86579,0.00963252174195117
"191","Woodend",34723372.8239214,776742939.8093,0.0447038151804076
"192","Woodford",44226068.9312354,1320858044.20218,0.0334828327126922
"193","Wynnum Creek",15348955.9895354,764564481.535275,0.020075423800376
"194","Yamanto",67867298.4598314,790090724.5795,0.0858981080887281
"195","Allyn River, Whiterock",5859019.46407,395228379.182018,0.0148243895749493
"196","Alstonville, Lumley Park",200260486.625,628998895.53203,0.318379711073439
"197","Arakoon",310122128.94814,866180273.89103,0.358034162513328
"198","Armidale",91994050.189,184888737.43561,0.497564380962027
"199","Avalon",15962474.267133,124663051.942928,0.128044950114335
"200","Avoca",17917929.441342,128741253.020561,0.139177839433335
"201","Balgowlah",8211783.238943,130402725.910751,0.0629724814538251
"202","Ballina, Little Fishery Creek",101918000.43227,375659347.074013,0.271304311275902
"203","Bangalow, Byron Creek",2191741.98116,267363453.3692,0.00819761247672636
"204","Bangalow, Paddys Creek",2983610.86005,277268335.7846,0.0107607341877215
"205","Bateman's Bay, Catalina",7065496.4119,33929982.744,0.208237548047366
"206","Bateman's Bay, Water Gardens",7102146.6475,34308965.512,0.207005560835576
"207","Bega, Glebe Park",23503380.135,109691903.0851,0.214267229156977
"208","Bellingen Island",419958643.111177,780061956.284369,0.538365753806974
"209","Bellingen, Community garden",410410964.282425,769979084.181469,0.533015730834708
"210","Bentley, Manifold Rd",199790524.609347,1132845815.11656,0.176361621275699
"211","Berry",5515554.8734,31544471.42297,0.174850128234632
"212","Birdwood",798593401.152212,1514974143.57264,0.527133353754114
"213","Blackalls Park (91 Fennell Crescent)",12254082.7478402,280278157.464456,0.0437211478008029
"214","Bob's Farm",6184698.72037,538292634.099,0.0114894730646315
"215","Bomaderry Creek",9951665.796331,53773313.09737,0.185067001140715
"216","Bowraville",454176642.501557,901164152.590158,0.503988802923581
"217","Braidwood",2969232.625372,11802138.12933,0.251584297085376
"218","Broadwater",420426536.42464,924477861.06115,0.454771881656591
"219","Brombin",536890054.771,1439952035.7761,0.372852734974349
"220","Byron Bay",1117237.011,170791627.96341,0.00654152094176041
"221","Byron bay, Middleton st",1117237.011,160864322.56251,0.00694521316599493
"222","Cabramatta",14678011.142016,252962155.497616,0.0580245338008844
"223","Camden, Brownlow Hill",101209243.973213,352994157.598027,0.286716484663367
"224","Campbelltown",44234436.465893,272568115.44666,0.162287640993539
"225","Cape Hawke",81303253.4561,591106208.5878,0.137544238708539
"226","Carrington Mangroves",4002509.0605077,380672920.801309,0.0105142993940375
"227","Casino",545617896.633757,1529235277.39711,0.356791335315286
"228","Centennial Pk",1039553.496339,101663038.120252,0.0102254813112054
"229","Clunes",68980059.176471,474570245.45965,0.145352684531791
"230","Clyde",15676417.710263,230256055.9873,0.0680825424679716
"231","Coffs Harbour, Coffs Creek",260711315.04828,608151519.97604,0.428694669806221
"232","Dalwood 1",299192551.01507,802821042.034711,0.37267651861339
"233","Dungog, Main Creek",12933162.0545,857344357.676453,0.0150851427885419
"234","Dungog, Williams River",12674276.02984,887756930.251878,0.0142767412992698
"235","East Cessnock",17185893.0852372,343482016.368379,0.0500343315406813
"236","Elizabeth Beach",72211573.8093,549617550.6942,0.131385130838876
"237","Emu Plains",28437570.412621,243111420.22243,0.116973404156015
"238","Evans Head",470132930.43774,970583080.789056,0.484381955283555
"239","Forster, cocos Cresent",81541592.0165,600713080.0928,0.135741329294683
"240","Gladesville",6000137.496783,177973325.532492,0.0337136898399281
"241","Glen Willliam",7866842.36085,862688735.618388,0.0091189811991818
"242","Glenreagh",635443690.23946,1335836383.28333,0.475689761254753
"243","Gordon",14588934.691953,178822235.966411,0.0815834485745571
"244","Gosford, Wingello Creek",18129272.3223252,169392516.233808,0.107025225939155
"245","Grafton, Susan Island",1320060897.18651,2655461062.38991,0.497111750529099
"246","Gresford",8929561.8438375,555962918.191382,0.0160614342281793
"247","Iluka",589752975.07012,1335795246.20525,0.441499531268359
"248","Inglewood, Frey Street",0,1704632.25334867,0
"249","Jiggi",88588826.342598,850606025.74722,0.104147894161432
"250","Kangaroo Valley",13754731.9052,81882780.27737,0.167980762971252
"251","Kareela",6192878.010543,196420941.64592,0.0315286036134917
"252","Kareena Park",984790.590963,167633258.82232,0.00587467306834864
"253","Kempsey cemetry",678172926.32759,1547656500.30034,0.438193440337687
"254","Kempsey, Rudder park",682362013.43184,1548110417.92214,0.440770894331749
"255","Kendall - Logans crossing",352080631.46439,1094072754.39034,0.321807329587129
"256","Kendall, Bakers Creek",369293016.16859,1113053843.65134,0.331783604427559
"257","Kiama, Boniara st",1407887.7145,26673604.2923725,0.0527820574628002
"258","Kiama, Spring Creek",1006119.8478,32944147.4608225,0.0305401695095157
"259","Kioloa",4611259.7472,25956156.102,0.177655725642854
